frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,155.96,165.92,155.96,,11.52,3.64,177.08,178.39,1,1,0,0,0,0,0,0,0,,
2,0.066,0,0,transition,unknown,156.02,163.5,155.99,,10.99,3.88,176.75,179.49,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,transition,unknown,155.51,165.41,155.83,,11.95,2.69,175.79,179.24,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,transition,unknown,155.84,165.73,155.83,,11.91,2.5,175.51,178.97,1,1,0,0,0,0,0,0,0,,
5,0.166,0,0,transition,unknown,153.54,164.21,155.37,,13.84,4.27,175.01,178.72,1,1,0,0,0,0,0,0,0,,
6,0.199,0,0,transition,unknown,154.23,165.67,155.18,,13.59,4.32,174.74,177.69,1,1,0,0,0,0,0,0,0,,
7,0.233,0,0,transition,unknown,152.64,161.21,154.82,,14.51,6.57,174.42,177.41,1,1,0,0,0,0,0,0,0,,
8,0.266,0,0,transition,unknown,153.07,162.17,154.6,,13.86,6.05,174.46,177.43,1,1,0,0,0,0,0,0,0,,
9,0.299,0,0,transition,unknown,152.29,161.41,154.34,,14.34,6.28,174.44,177.18,1,1,0,0,0,0,0,0,0,,
10,0.332,0,0,transition,unknown,152.75,160.95,154.18,,13.59,6.01,174.74,177.44,1,1,0,0,0,0,0,0,0,,
11,0.366,0,0,transition,unknown,153.14,161.74,154.09,,13.04,5.51,175.22,177.95,1,1,0,0,0,0,0,0,0,,
12,0.399,0,0,transition,unknown,154.54,160.54,154.13,,12.34,5.46,175.01,177.96,1,1,0,0,0,0,0,0,0,,
13,0.432,0,0,transition,unknown,154.32,161.62,153.99,,12.72,5.27,174.69,177.69,1,1,0,0,0,0,0,0,0,,
14,0.465,0,0,transition,unknown,153.8,160.81,153.81,,13.01,5.23,174.92,178.19,1,1,0,0,0,0,0,0,0,,
15,0.499,0,0,transition,unknown,155.39,161.92,153.8,,12.09,4.74,174.92,178.19,1,1,0,0,0,0,0,0,0,,
16,0.532,0,0,transition,unknown,156.55,162.28,153.86,,12.03,4.73,174.62,178.19,1,1,0,0,0,0,0,0,0,,
17,0.565,0,0,transition,unknown,155.02,162.41,153.98,,12.42,4.52,175.11,177.93,1,1,0,0,0,0,0,0,0,,
18,0.598,0,0,transition,unknown,156.01,160.81,154.13,,11.95,5.51,174.6,177.92,1,1,0,0,0,0,0,0,0,,
19,0.632,0,0,transition,unknown,156.18,160.81,154.42,,11.67,5.77,174.37,177.66,1,1,0,0,0,0,0,0,0,,
20,0.665,0,0,transition,unknown,156.02,162.27,154.67,,11.69,4.31,174.34,177.65,1,1,0,0,0,0,0,0,0,,
21,0.698,0,0,transition,unknown,156.13,163.74,154.99,,11.49,4.33,174.6,177.12,1,1,0,0,0,0,0,0,0,,
22,0.731,0,0,transition,unknown,155.95,162.82,155.25,,11.53,5.05,174.09,176.88,1,1,0,0,0,0,0,0,0,,
23,0.765,0,0,transition,unknown,156.29,163.9,155.52,,11.28,4.33,173.83,177.12,1,1,0,0,0,0,0,0,0,,
24,0.798,0,0,transition,unknown,156.75,165.0,155.7,,10.82,3.57,173.83,177.4,1,1,0,0,0,0,0,0,0,,
25,0.831,0,0,transition,unknown,156.65,163.91,155.89,,10.45,5.09,173.63,176.36,1,1,0,0,0,0,0,0,0,,
26,0.864,0,0,transition,unknown,155.94,162.65,156.07,,10.8,5.31,173.32,176.62,1,1,0,0,0,0,0,0,0,,
27,0.898,0,0,transition,unknown,155.7,162.52,156.1,,11.22,4.84,173.32,176.6,1,1,0,0,0,0,0,0,0,,
28,0.931,0,0,transition,unknown,156.93,163.18,156.13,,10.6,4.86,173.03,176.1,1,1,0,0,0,0,0,0,0,,
29,0.964,0,0,transition,unknown,156.01,162.84,156.21,,11.27,5.13,172.78,175.82,1,1,0,0,0,0,0,0,0,,
30,0.997,0,0,transition,unknown,156.04,163.45,156.22,,11.28,5.39,172.75,175.56,1,1,0,0,0,0,0,0,0,,
31,1.031,0,0,transition,unknown,157.6,163.45,156.34,,10.61,5.15,172.52,175.8,1,1,0,0,0,0,0,0,0,,
32,1.064,0,0,transition,unknown,158.42,163.73,156.53,,10.12,5.17,172.52,175.78,1,1,0,0,0,0,0,0,0,,
33,1.097,0,0,transition,unknown,158.22,163.9,156.71,,9.87,4.9,172.81,176.06,1,1,0,0,0,0,0,0,0,,
34,1.13,0,0,transition,unknown,158.29,164.55,156.9,,10.01,4.4,173.1,176.08,1,1,0,0,0,0,0,0,0,,
35,1.164,0,0,transition,unknown,158.35,164.58,157.08,,10.48,4.2,173.07,175.8,1,1,0,0,0,0,0,0,0,,
36,1.197,0,0,transition,unknown,158.79,164.58,157.25,,10.23,3.66,172.87,176.34,1,1,0,0,0,0,0,0,0,,
37,1.23,0,0,transition,unknown,158.88,163.95,157.43,,10.58,4.58,173.44,176.38,1,1,0,0,0,0,0,0,0,,
38,1.263,0,0,transition,unknown,159.45,164.4,157.72,,10.95,4.86,172.66,176.1,1,1,0,0,0,0,0,0,0,,
39,1.296,0,0,transition,unknown,159.0,165.02,158.0,,11.4,5.09,172.66,175.86,1,1,0,0,0,0,0,0,0,,
40,1.33,0,0,transition,unknown,160.0,165.78,158.25,,11.37,5.09,172.69,175.86,1,1,0,0,0,0,0,0,0,,
41,1.363,0,0,down,unknown,161.88,165.3,,,11.15,5.29,172.94,176.13,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
