frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,174.71,166.08,174.71,166.08,32.86,38.66,163.51,158.08,0,0,0,0,0,0,0,0,0,,
2,0.067,0,0,down,down,173.98,169.84,174.34,167.96,31.09,35.71,164.72,159.84,0,0,0,0,0,0,0,0,0,,
3,0.1,0,0,down,down,178.22,172.86,175.64,169.59,27.44,32.02,165.12,161.83,0,0,0,0,0,0,0,0,0,,
4,0.133,0,0,down,down,178.45,173.88,176.34,170.67,25.3,28.96,165.24,163.32,0,1,0,0,0,0,0,0,0,,
5,0.167,0,0,down,down,179.65,174.72,177.0,171.48,22.92,25.65,166.32,166.3,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,down,down,175.84,174.77,176.81,172.03,23.44,23.34,166.63,168.32,1,1,0,0,0,0,0,0,0,,
7,0.234,0,0,down,down,174.66,179.14,176.5,173.04,21.74,21.41,168.36,168.57,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,down,down,177.2,179.63,176.59,173.86,19.43,19.87,168.93,169.76,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,down,down,179.19,178.9,176.88,174.42,17.28,19.55,168.47,170.66,1,1,0,0,0,0,0,0,0,,
10,0.334,0,0,down,down,177.01,178.18,176.89,174.8,15.53,19.09,168.51,171.62,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,down,down,178.35,175.37,177.02,174.85,15.51,18.98,168.55,172.27,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,down,down,176.62,176.01,176.99,174.95,14.15,17.61,167.7,173.11,1,1,0,0,0,0,0,0,0,,
13,0.434,0,0,down,down,178.39,179.09,177.3,176.03,15.25,15.82,167.57,173.96,1,1,0,0,0,0,0,0,0,,
14,0.467,0,0,down,down,174.78,178.49,177.36,176.75,13.63,15.51,167.01,174.65,1,1,0,0,0,0,0,0,0,,
15,0.5,0,0,down,down,177.17,179.83,177.28,177.33,14.36,14.56,167.21,174.53,1,1,0,0,0,0,0,0,0,,
16,0.534,0,0,down,down,175.83,178.78,177.06,177.74,14.1,15.4,167.23,174.17,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,down,down,175.26,179.91,176.69,178.17,13.29,15.16,168.02,174.09,1,1,0,0,0,0,0,0,0,,
18,0.601,0,0,down,down,178.75,179.04,176.93,178.53,14.22,15.34,168.92,174.76,1,1,0,0,0,0,0,0,0,,
19,0.634,0,0,down,down,178.77,177.79,177.28,178.42,14.81,15.89,169.32,175.1,1,1,0,0,0,0,0,0,0,,
20,0.667,0,0,down,down,178.08,177.92,177.35,178.28,13.16,15.07,169.05,174.97,1,1,0,0,0,0,0,0,0,,
21,0.701,0,0,down,down,179.47,175.83,177.37,178.02,14.92,15.91,168.92,175.33,1,1,0,0,0,0,0,0,0,,
22,0.734,0,0,down,down,179.51,178.08,177.58,178.01,14.09,15.93,169.72,175.51,1,1,0,0,0,0,0,0,0,,
23,0.767,0,0,down,down,179.81,177.39,177.7,178.18,13.48,16.88,169.7,174.82,1,1,0,0,0,0,0,0,0,,
24,0.801,0,0,down,down,178.88,177.02,177.89,178.27,13.86,16.37,169.92,175.0,1,1,0,0,0,0,0,0,0,,
25,0.834,0,0,down,down,177.3,176.46,177.8,178.05,13.66,16.03,171.22,174.82,1,1,0,0,0,0,0,0,0,,
26,0.867,0,0,down,down,176.96,176.32,177.98,177.87,12.94,16.87,172.29,174.57,1,1,0,0,0,0,0,0,0,,
27,0.901,0,0,down,down,179.71,179.59,178.19,177.85,13.18,15.73,172.13,173.9,1,1,0,0,0,0,0,0,0,,
28,0.934,0,0,down,down,179.67,179.43,178.51,177.9,12.1,15.77,172.53,172.55,1,1,0,0,0,0,0,0,0,,
29,0.967,0,0,down,down,176.77,178.83,178.64,177.81,10.91,15.02,173.08,172.1,1,1,0,0,0,0,0,0,0,,
30,1.001,0,0,down,down,175.57,178.93,178.38,177.8,12.33,14.17,173.79,171.48,1,1,0,0,0,0,0,0,0,,
31,1.034,0,0,down,down,175.87,178.86,178.13,177.89,12.77,13.2,173.64,171.48,1,1,0,0,0,0,0,0,0,,
32,1.068,0,0,down,down,175.36,176.68,177.91,177.79,14.06,11.97,173.44,170.67,1,1,0,0,0,0,0,0,0,,
33,1.101,0,0,down,down,177.58,177.78,177.75,177.95,12.82,13.19,175.78,169.78,1,1,0,0,0,0,0,0,0,,
34,1.134,0,0,down,down,178.77,178.16,177.69,177.95,13.71,13.48,176.6,169.45,1,1,0,0,0,0,0,0,0,,
35,1.168,0,0,down,down,178.84,179.19,177.61,178.1,14.07,13.42,176.29,169.54,1,1,0,0,0,0,0,0,0,,
36,1.201,0,0,down,down,179.28,179.66,177.64,178.32,15.17,14.22,176.21,169.5,1,1,0,0,0,0,0,0,0,,
37,1.234,0,0,down,down,177.98,179.05,177.7,178.54,14.39,12.75,176.61,169.9,1,1,0,0,0,0,0,0,0,,
38,1.268,0,0,down,down,178.64,179.29,177.84,178.79,15.76,12.54,175.67,170.08,1,1,0,0,0,0,0,0,0,,
39,1.301,0,0,down,down,179.85,177.59,177.85,178.62,16.15,12.24,176.41,169.43,1,1,0,0,0,0,0,0,0,,
40,1.334,0,0,down,down,178.99,178.97,177.79,178.58,15.98,13.43,176.27,170.18,1,1,0,0,0,0,0,0,0,,
41,1.368,0,0,down,down,179.58,179.0,178.03,178.6,16.02,12.25,176.1,170.03,1,1,0,0,0,0,0,0,0,,
42,1.401,0,0,down,down,179.66,176.99,178.37,178.44,15.14,14.22,175.98,171.27,1,1,0,0,0,0,0,0,0,,
43,1.435,0,0,down,down,178.66,179.74,178.6,178.51,15.48,13.47,175.76,170.75,1,1,0,0,0,0,0,0,0,,
44,1.468,0,0,down,down,178.56,178.45,178.87,178.66,13.43,13.27,174.66,171.18,1,1,0,0,0,0,0,0,0,,
45,1.501,0,0,down,down,178.85,178.94,178.97,178.75,13.33,11.99,174.98,170.86,1,1,0,0,0,0,0,0,0,,
46,1.535,0,0,down,down,179.56,179.27,179.04,178.85,14.54,12.55,173.5,172.24,1,1,0,0,0,0,0,0,0,,
47,1.568,0,0,down,down,178.0,179.15,178.97,178.84,13.73,13.41,173.32,172.43,1,1,0,0,0,0,0,0,0,,
48,1.601,0,0,down,down,176.78,179.32,178.76,178.81,12.86,15.0,172.92,172.85,1,1,0,0,0,0,0,0,0,,
49,1.635,0,0,down,down,178.11,178.61,178.77,178.78,12.18,14.56,174.31,171.85,1,1,0,0,0,0,0,0,0,,
50,1.668,0,0,down,down,176.58,178.64,178.6,178.72,11.03,15.91,174.45,171.57,1,1,0,0,0,0,0,0,0,,
51,1.701,0,0,down,down,175.4,178.42,178.23,178.79,11.22,15.15,172.96,172.47,1,1,0,0,0,0,0,0,0,,
52,1.735,0,0,down,down,177.45,179.15,178.1,178.81,12.26,15.93,172.53,173.32,1,1,0,0,0,0,0,0,0,,
53,1.768,0,0,down,down,176.49,177.74,177.84,178.7,11.84,17.29,172.98,173.57,1,1,0,0,0,0,0,0,0,,
54,1.801,0,0,down,down,178.17,178.41,177.72,178.82,13.87,16.94,171.94,174.04,1,1,0,0,0,0,0,0,0,,
55,1.835,0,0,down,down,174.94,177.63,177.41,178.64,13.24,17.84,171.33,174.26,1,1,0,0,0,0,0,0,0,,
56,1.868,0,0,down,down,175.32,176.71,177.14,178.5,13.14,18.2,171.4,174.11,1,1,0,0,0,0,0,0,0,,
57,1.902,0,0,down,down,177.56,177.32,177.03,178.36,14.32,17.64,171.92,173.94,1,1,0,0,0,0,0,0,0,,
58,1.935,0,0,down,down,178.47,179.81,176.94,178.41,15.2,17.06,171.64,174.12,1,1,0,0,0,0,0,0,0,,
59,1.968,0,0,down,down,176.41,179.38,176.81,178.43,14.56,16.84,171.32,174.41,1,1,0,0,0,0,0,0,0,,
60,2.002,0,0,down,down,177.03,179.46,176.83,178.44,14.72,16.7,171.19,174.54,1,1,0,0,0,0,0,0,0,,
61,2.035,0,0,down,down,176.81,178.62,176.72,178.44,14.31,16.42,170.98,174.49,1,1,0,0,0,0,0,0,0,,
62,2.068,0,0,down,down,176.63,178.55,176.72,178.43,14.98,15.9,170.7,174.88,1,1,0,0,0,0,0,0,0,,
63,2.102,0,0,down,down,176.3,179.9,176.8,178.56,15.13,15.59,170.81,174.31,1,1,0,0,0,0,0,0,0,,
64,2.135,0,0,down,down,176.53,178.35,176.72,178.49,14.52,15.5,171.35,173.7,1,1,0,0,0,0,0,0,0,,
65,2.168,0,0,down,down,176.71,179.58,176.74,178.64,14.79,16.29,171.44,173.66,1,1,0,0,0,0,0,0,0,,
66,2.202,0,0,down,down,176.82,179.53,176.63,178.74,15.41,16.98,171.11,173.62,1,1,0,0,0,0,0,0,0,,
67,2.235,0,0,down,down,177.18,179.73,176.81,178.91,15.49,16.17,170.57,173.93,1,1,0,0,0,0,0,0,0,,
68,2.269,0,0,down,down,178.86,177.38,177.11,178.97,15.85,17.25,170.84,174.06,1,1,0,0,0,0,0,0,0,,
69,2.302,0,0,down,down,176.68,178.67,177.04,179.08,15.79,16.66,169.95,174.58,1,1,0,0,0,0,0,0,0,,
70,2.335,0,0,down,down,177.78,177.77,176.98,178.91,16.33,17.17,169.73,174.58,1,1,0,0,0,0,0,0,0,,
71,2.369,0,0,down,down,176.68,178.52,177.0,178.84,16.01,16.66,169.09,174.58,1,1,0,0,0,0,0,0,0,,
72,2.402,0,0,down,down,177.0,177.34,177.0,178.66,16.09,17.14,169.34,174.55,1,1,0,0,0,0,0,0,0,,
73,2.435,0,0,down,down,177.78,177.47,177.08,178.57,15.99,17.11,169.43,174.2,1,1,0,0,0,0,0,0,0,,
74,2.469,0,0,down,down,179.45,175.93,177.32,178.35,17.01,17.68,169.43,174.25,1,1,0,0,0,0,0,0,0,,
75,2.502,0,0,down,down,178.83,175.84,177.53,178.01,17.22,17.36,168.66,174.39,1,1,0,0,0,0,0,0,0,,
76,2.535,0,0,down,down,177.88,176.9,177.64,177.89,16.4,17.05,168.83,174.45,1,1,0,0,0,0,0,0,0,,
77,2.569,0,0,down,down,176.64,177.1,177.63,177.68,15.7,17.5,168.93,174.27,1,1,0,0,0,0,0,0,0,,
78,2.602,0,0,down,down,177.05,176.63,177.65,177.44,16.25,17.86,168.48,173.97,1,1,0,0,0,0,0,0,0,,
79,2.636,0,0,down,down,174.64,178.01,177.44,177.3,15.07,16.96,169.2,174.03,1,1,0,0,0,0,0,0,0,,
80,2.669,0,0,down,down,174.43,179.44,177.07,177.47,14.83,16.12,168.83,173.83,1,1,0,0,0,0,0,0,0,,
81,2.702,0,0,down,down,176.02,179.07,177.02,177.5,15.09,16.1,169.51,173.2,1,1,0,0,0,0,0,0,0,,
82,2.736,0,0,down,down,174.47,179.05,176.74,177.61,14.67,16.47,169.6,173.49,1,1,0,0,0,0,0,0,0,,
83,2.769,0,0,down,down,173.53,179.48,176.48,177.69,14.71,17.11,169.91,173.94,1,1,0,0,0,0,0,0,0,,
84,2.802,0,0,down,down,174.0,178.31,176.23,177.77,15.81,17.52,169.71,174.06,1,1,0,0,0,0,0,0,0,,
85,2.836,0,0,down,down,175.31,179.34,176.02,177.93,15.59,17.11,170.25,173.94,1,1,0,0,0,0,0,0,0,,
86,2.869,0,0,down,down,175.7,179.49,175.71,178.22,16.53,17.16,169.99,174.22,1,1,0,0,0,0,0,0,0,,
87,2.902,0,0,down,down,174.8,178.02,175.37,178.4,15.56,17.83,169.99,173.68,1,1,0,0,0,0,0,0,0,,
88,2.936,0,0,down,down,176.07,176.79,175.22,178.4,15.83,17.54,169.88,174.11,1,1,0,0,0,0,0,0,0,,
89,2.969,0,0,down,down,174.89,176.53,175.07,178.35,14.17,17.59,169.94,174.13,1,1,0,0,0,0,0,0,0,,
90,3.002,0,0,down,down,176.56,175.37,175.03,178.24,14.05,18.13,170.42,173.74,1,1,0,0,0,0,0,0,0,,
91,3.036,0,0,down,down,178.44,175.11,175.35,178.0,14.2,18.72,170.71,173.3,1,1,0,0,0,0,0,0,0,,
92,3.069,0,0,down,down,177.09,173.28,175.57,177.49,12.27,19.55,170.91,173.36,1,1,0,0,0,0,0,0,0,,
93,3.103,0,0,down,down,176.93,176.86,175.65,177.3,12.43,18.76,171.43,173.26,1,1,0,0,0,0,0,0,0,,
94,3.136,0,0,down,down,177.15,176.36,175.87,177.08,12.61,18.1,171.23,173.92,1,1,0,0,0,0,0,0,0,,
95,3.169,0,0,down,down,174.95,178.37,175.99,176.98,11.22,17.87,170.51,173.72,1,1,0,0,0,0,0,0,0,,
96,3.203,0,0,down,down,174.73,178.16,176.05,176.97,10.34,17.45,170.68,173.58,1,1,0,0,0,0,0,0,0,,
97,3.236,0,0,down,down,175.92,178.78,176.1,176.93,10.38,16.55,170.31,173.6,1,1,0,0,0,0,0,0,0,,
98,3.269,0,0,down,down,178.95,179.84,176.37,176.95,11.01,15.52,170.68,173.72,1,1,0,0,0,0,0,0,0,,
99,3.303,0,0,down,down,179.34,179.39,176.75,177.07,11.61,14.74,169.73,173.44,1,1,0,0,0,0,0,0,0,,
100,3.336,0,0,down,down,179.48,178.03,177.04,177.17,12.1,13.23,169.96,172.65,1,1,0,0,0,0,0,0,0,,
101,3.369,0,0,down,down,177.45,179.58,177.25,177.43,11.09,13.42,170.31,172.81,1,1,0,0,0,0,0,0,0,,
102,3.403,0,0,down,down,179.33,176.86,177.48,177.55,11.38,13.64,170.3,173.03,1,1,0,0,0,0,0,0,0,,
103,3.436,0,0,down,down,179.65,175.78,177.58,177.61,11.6,14.14,171.07,171.74,1,1,0,0,0,0,0,0,0,,
104,3.47,0,0,down,down,179.54,178.49,177.78,178.04,11.59,14.02,171.07,171.49,1,1,0,0,0,0,0,0,0,,
105,3.503,0,0,down,down,179.33,177.64,177.98,178.11,11.48,13.66,171.2,171.13,1,1,0,0,0,0,0,0,0,,
106,3.536,0,0,down,down,178.82,177.56,178.12,178.21,12.18,13.18,170.75,172.05,1,1,0,0,0,0,0,0,0,,
107,3.57,0,0,down,down,175.48,175.87,178.17,178.0,11.24,13.52,170.75,172.85,1,1,0,0,0,0,0,0,0,,
108,3.603,0,0,down,down,174.21,177.5,178.12,177.94,10.23,13.78,170.77,172.63,1,1,0,0,0,0,0,0,0,,
109,3.636,0,0,down,down,176.12,176.88,178.14,177.79,9.92,13.87,170.74,173.33,1,1,0,0,0,0,0,0,0,,
110,3.67,0,0,down,down,177.56,179.8,178.03,177.78,10.92,14.06,171.06,172.65,1,1,0,0,0,0,0,0,0,,
111,3.703,0,0,down,down,177.77,178.32,177.89,177.69,11.99,13.84,170.33,172.54,1,1,0,0,0,0,0,0,0,,
112,3.736,0,0,down,down,174.98,177.54,177.52,177.65,12.68,12.54,170.0,172.9,1,1,0,0,0,0,0,0,0,,
113,3.77,0,0,down,down,174.88,176.76,177.31,177.42,13.31,13.58,170.12,172.99,1,1,0,0,0,0,0,0,0,,
114,3.803,0,0,down,down,174.75,178.04,176.92,177.52,13.32,14.45,171.07,172.72,1,1,0,0,0,0,0,0,0,,
115,3.837,0,0,down,down,175.42,177.89,176.57,177.69,13.96,16.75,171.17,173.28,1,1,0,0,0,0,0,0,0,,
116,3.87,0,0,down,down,176.01,178.68,176.28,177.71,15.32,14.84,170.15,173.64,1,1,0,0,0,0,0,0,0,,
117,3.903,0,0,down,down,174.87,177.52,175.9,177.7,15.09,14.92,170.45,173.7,1,1,0,0,0,0,0,0,0,,
118,3.937,0,0,down,down,171.84,178.41,175.32,177.77,14.06,16.07,170.39,173.5,1,1,0,0,0,0,0,0,0,,
119,3.97,0,0,down,down,173.07,179.13,175.12,178.04,15.07,16.78,170.1,173.86,1,1,0,0,0,0,0,0,0,,
120,4.003,0,0,down,down,172.59,178.33,174.99,178.11,14.67,17.2,170.1,173.44,1,1,0,0,0,0,0,0,0,,
121,4.037,0,0,down,down,172.23,178.57,174.66,178.25,14.13,16.94,170.27,173.15,1,1,0,0,0,0,0,0,0,,
122,4.07,0,0,down,down,173.01,177.73,174.28,178.08,14.83,17.38,170.27,173.17,1,1,0,0,0,0,0,0,0,,
123,4.103,0,0,down,down,172.31,176.74,173.83,177.95,14.88,17.8,169.89,174.18,1,1,0,0,0,0,0,0,0,,
124,4.137,0,0,down,down,174.03,176.02,173.75,177.82,15.49,17.62,169.92,174.54,1,1,0,0,0,0,0,0,0,,
125,4.17,0,0,down,down,175.72,177.05,173.82,177.84,17.01,16.69,169.18,175.28,1,1,0,0,0,0,0,0,0,,
126,4.204,0,0,down,down,174.36,179.03,173.79,177.93,15.89,16.02,169.92,174.64,1,1,0,0,0,0,0,0,0,,
127,4.237,0,0,down,down,173.52,179.68,173.63,178.08,15.48,15.55,169.71,174.58,1,1,0,0,0,0,0,0,0,,
128,4.27,0,0,down,down,175.01,179.96,173.55,178.18,15.83,15.36,170.13,174.64,1,1,0,0,0,0,0,0,0,,
129,4.304,0,0,down,down,174.08,178.93,173.48,178.3,15.24,16.31,170.3,175.06,1,1,0,0,0,0,0,0,0,,
130,4.337,0,0,down,down,174.32,179.39,173.69,178.38,14.84,16.62,170.36,174.29,1,1,0,0,0,0,0,0,0,,
131,4.37,0,0,down,down,175.6,178.72,173.9,178.35,15.22,17.39,170.39,173.92,1,1,0,0,0,0,0,0,0,,
132,4.404,0,0,down,down,175.28,178.5,174.12,178.36,15.19,17.31,170.03,173.94,1,1,0,0,0,0,0,0,0,,
133,4.437,0,0,down,down,176.98,177.04,174.52,178.23,16.18,18.66,170.09,173.12,1,1,0,0,0,0,0,0,0,,
134,4.47,0,0,down,down,177.37,177.7,174.88,178.23,16.12,19.15,170.84,172.92,1,1,0,0,0,0,0,0,0,,
135,4.504,0,0,down,down,178.49,175.32,175.4,178.11,16.79,19.73,170.8,173.19,1,1,0,0,0,0,0,0,0,,
136,4.537,0,0,down,down,177.76,174.54,175.71,177.99,17.18,20.69,170.42,173.6,1,1,0,0,0,0,0,0,0,,
137,4.57,0,0,down,down,178.85,173.49,175.97,177.69,19.62,20.56,169.61,174.08,1,1,0,0,0,0,0,0,0,,
138,4.604,0,0,down,down,175.96,173.11,176.1,177.2,21.33,21.11,169.84,173.8,1,1,0,0,0,0,0,0,0,,
