frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,128.91,150.03,128.91,150.03,19.53,1.49,175.49,175.31,0,1,0,0,0,0,0,0,0,,
2,0.067,0,0,transition,unknown,130.54,136.71,129.73,150.03,18.27,4.37,174.96,176.78,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,transition,unknown,129.84,137.88,129.77,150.03,19.55,5.8,175.01,176.89,0,1,0,0,0,0,0,0,0,,
4,0.133,0,0,transition,unknown,129.5,138.98,129.7,150.03,19.38,5.76,175.61,177.4,0,1,0,0,0,0,0,0,0,,
5,0.166,0,0,transition,unknown,129.52,136.43,129.66,150.03,19.24,5.83,175.93,177.17,0,1,0,0,0,0,0,0,0,,
6,0.2,0,0,transition,unknown,130.43,139.78,129.79,150.03,19.03,6.37,175.62,177.53,0,1,0,0,0,0,0,0,0,,
7,0.233,0,0,transition,unknown,130.91,137.41,129.95,150.03,19.07,7.55,175.26,177.77,0,1,0,0,0,0,0,0,0,,
8,0.266,0,0,transition,unknown,130.66,140.3,130.04,150.03,19.16,6.83,175.4,178.16,0,1,0,0,0,0,0,0,0,,
9,0.3,0,0,transition,unknown,130.46,138.97,130.09,150.03,19.26,7.74,175.77,178.16,0,1,0,0,0,0,0,0,0,,
10,0.333,0,0,transition,unknown,131.0,135.36,130.18,150.03,19.25,7.65,175.71,178.15,0,1,0,0,0,0,0,0,0,,
11,0.366,0,0,transition,unknown,131.13,144.24,130.26,150.03,18.26,5.16,175.54,178.52,0,1,0,0,0,0,0,0,0,,
12,0.399,0,0,transition,unknown,130.3,144.34,130.27,150.03,18.8,5.29,175.33,178.65,0,1,0,0,0,0,0,0,0,,
13,0.433,0,0,transition,unknown,129.4,138.17,130.31,150.03,17.58,5.69,174.54,179.16,1,1,0,0,0,0,0,0,0,,
14,0.466,0,0,transition,unknown,130.58,140.17,130.31,150.03,17.39,4.97,174.24,179.64,1,1,0,0,0,0,0,0,0,,
15,0.499,0,0,transition,unknown,130.02,138.46,130.33,150.03,17.33,5.21,174.41,179.4,1,1,0,0,0,0,0,0,0,,
16,0.533,0,0,transition,unknown,128.34,132.74,130.23,150.03,15.65,3.52,174.47,178.93,1,1,0,0,0,0,0,0,0,,
17,0.566,0,0,transition,unknown,127.07,131.88,130.03,150.03,13.8,0.5,175.24,179.04,1,1,0,0,0,0,0,0,0,,
18,0.599,0,0,transition,unknown,126.96,129.12,129.74,150.03,9.99,1.94,175.07,178.79,1,1,0,0,0,0,0,0,0,,
19,0.632,0,0,transition,unknown,120.41,121.19,128.86,150.03,7.47,3.9,174.85,178.77,1,1,0,0,0,0,0,0,0,,
20,0.666,0,0,transition,unknown,114.57,124.02,127.52,150.03,5.13,7.48,175.08,178.45,1,1,0,0,0,0,0,0,0,,
21,0.699,0,0,transition,unknown,115.29,124.69,126.26,150.03,4.95,6.58,174.2,178.86,1,1,0,0,0,0,0,0,0,,
22,0.732,0,0,transition,unknown,107.52,125.12,124.3,150.03,2.83,9.65,174.46,178.59,1,1,0,0,0,0,0,0,0,,
23,0.766,0,0,transition,unknown,95.0,113.15,121.29,150.03,1.11,7.03,173.33,179.6,1,1,0,0,0,0,0,0,0,,
24,0.799,0,0,transition,unknown,88.12,116.67,117.77,150.03,3.28,16.39,173.95,179.49,1,1,0,0,0,0,0,0,0,,
25,0.832,0,0,transition,unknown,87.15,123.68,114.25,150.03,6.44,31.53,173.82,179.62,1,0,0,0,0,0,0,0,0,,
26,0.865,0,0,transition,unknown,82.39,85.24,110.24,150.03,10.9,20.11,173.66,176.93,0,1,0,0,0,0,0,0,0,,
27,0.899,0,0,transition,unknown,83.21,87.35,106.34,150.03,11.1,22.19,173.54,176.53,0,1,0,0,0,0,0,0,0,,
28,0.932,0,0,transition,unknown,75.05,74.36,101.9,150.03,13.22,21.89,173.04,176.54,0,1,0,0,0,0,0,0,0,,
29,0.965,0,0,transition,unknown,71.68,69.2,97.28,150.03,18.4,24.31,172.41,176.36,0,0,0,0,0,0,0,0,0,,
30,0.999,0,0,transition,unknown,65.78,70.55,92.18,150.03,20.79,31.22,172.51,178.11,0,0,0,0,0,0,0,0,0,,
31,1.032,0,0,transition,unknown,62.61,67.37,87.36,150.03,21.88,32.74,171.87,178.81,0,0,0,0,0,0,0,0,0,,
32,1.065,0,0,transition,unknown,61.7,61.07,82.96,150.03,23.68,34.66,171.65,178.0,0,0,0,0,0,0,0,0,0,,
33,1.098,0,0,transition,unknown,61.31,58.18,78.46,150.03,24.02,33.6,171.61,177.54,0,0,0,0,0,0,0,0,0,,
34,1.132,0,0,transition,unknown,58.31,55.09,74.36,150.03,23.89,34.53,171.63,176.57,0,0,0,0,0,0,0,0,0,,
35,1.165,0,0,transition,unknown,54.97,55.97,71.02,150.03,26.17,38.08,171.92,178.37,0,0,0,0,0,0,0,0,0,,
36,1.198,0,0,transition,unknown,53.77,53.0,68.16,150.03,26.02,38.63,171.52,177.77,0,0,0,0,0,0,0,0,0,,
37,1.232,0,0,transition,unknown,54.03,54.48,65.4,150.03,27.34,40.71,171.56,177.52,0,0,0,0,0,0,0,0,0,,
38,1.265,0,0,transition,unknown,52.81,52.77,62.93,150.03,27.39,41.14,171.58,177.77,0,0,0,0,0,0,0,0,0,,
39,1.298,0,0,transition,unknown,52.33,53.88,60.36,150.03,27.35,41.39,172.0,177.77,0,0,0,0,0,0,0,0,0,,
40,1.331,0,0,transition,unknown,51.62,54.87,58.41,150.03,27.85,42.03,172.17,177.77,0,0,0,0,0,0,0,0,0,,
41,1.365,0,0,transition,unknown,51.83,51.22,56.75,150.03,27.44,40.85,171.53,177.52,0,0,0,0,0,0,0,0,0,,
42,1.398,0,0,transition,unknown,50.8,52.7,55.51,150.03,25.85,40.01,171.71,178.11,0,0,0,0,0,0,0,0,0,,
43,1.431,0,0,transition,unknown,50.78,50.72,54.52,150.03,25.88,38.01,172.19,177.92,0,0,0,0,0,0,0,0,0,,
44,1.465,0,0,transition,unknown,51.77,51.26,53.69,150.03,26.41,37.92,172.6,177.47,0,0,0,0,0,0,0,0,0,,
45,1.498,0,0,transition,unknown,51.29,54.03,52.86,150.03,26.08,39.01,172.46,177.92,0,0,0,0,0,0,0,0,0,,
46,1.531,0,0,transition,unknown,54.15,48.79,52.51,150.03,26.67,34.92,172.55,176.89,0,0,0,0,0,0,0,0,0,,
47,1.564,0,0,transition,unknown,55.21,55.41,52.53,150.03,23.73,34.66,172.44,177.89,0,0,0,0,0,0,0,0,0,,
48,1.598,0,0,transition,unknown,55.54,59.31,52.68,150.03,21.86,33.21,172.25,178.48,0,0,0,0,0,0,0,0,0,,
49,1.631,0,0,transition,unknown,57.27,65.9,52.95,150.03,20.52,34.02,172.3,179.88,0,0,0,0,0,0,0,0,0,,
50,1.664,0,0,transition,unknown,61.12,62.35,53.64,150.03,18.79,30.04,171.76,179.89,0,0,0,0,0,0,0,0,0,,
51,1.698,0,0,transition,unknown,61.68,63.92,54.42,150.03,19.22,30.27,171.45,179.65,0,0,0,0,0,0,0,0,0,,
52,1.731,0,0,transition,unknown,64.75,63.12,55.52,150.03,18.67,27.07,171.37,178.86,0,0,0,0,0,0,0,0,0,,
53,1.764,0,0,transition,unknown,66.66,67.8,56.75,150.03,15.06,24.9,171.42,177.9,0,0,0,0,0,0,0,0,0,,
54,1.798,0,0,transition,unknown,69.45,60.32,58.31,150.03,10.85,23.95,171.54,178.36,0,0,0,0,0,0,0,0,0,,
55,1.831,0,0,transition,unknown,74.74,54.92,60.3,150.03,9.52,25.83,171.16,177.87,0,0,0,0,0,0,0,0,0,,
56,1.864,0,0,transition,unknown,77.31,60.86,62.43,150.03,8.35,26.32,171.32,178.08,0,0,0,0,0,0,0,0,0,,
57,1.897,0,0,transition,unknown,77.13,60.1,64.58,150.03,8.61,25.16,171.31,177.74,0,0,0,0,0,0,0,0,0,,
58,1.931,0,0,transition,unknown,83.33,85.43,67.02,150.03,5.44,26.17,170.64,178.88,1,0,0,0,0,0,0,0,0,,
59,1.964,0,0,transition,unknown,84.27,103.25,69.44,150.03,1.93,19.54,171.28,177.16,1,0,0,0,0,0,0,0,0,,
60,1.997,0,0,transition,unknown,84.9,108.7,71.88,150.03,1.59,15.46,170.89,176.76,1,1,0,0,0,0,0,0,0,,
61,2.031,0,0,transition,unknown,84.92,109.2,74.19,150.03,0.51,11.56,171.38,177.25,1,1,0,0,0,0,0,0,0,,
62,2.064,0,0,transition,unknown,86.56,113.39,76.31,150.03,1.38,7.52,170.47,176.76,1,1,0,0,0,0,0,0,0,,
63,2.097,0,0,transition,unknown,86.25,115.43,78.36,150.03,1.0,8.44,170.31,176.31,1,1,0,0,0,0,0,0,0,,
64,2.13,0,0,transition,unknown,90.06,103.73,80.46,150.03,0.7,2.98,169.74,177.24,1,1,0,0,0,0,0,0,0,,
65,2.164,0,0,transition,unknown,93.6,104.08,82.71,150.03,2.63,3.29,170.5,177.85,1,1,0,0,0,0,0,0,0,,
66,2.197,0,0,transition,unknown,94.86,104.1,84.83,150.03,2.41,4.7,170.79,178.6,1,1,0,0,0,0,0,0,0,,
67,2.23,0,0,transition,unknown,99.16,111.3,86.86,150.03,2.78,5.2,170.81,178.62,1,1,0,0,0,0,0,0,0,,
68,2.264,0,0,transition,unknown,100.55,107.05,88.8,150.03,4.96,2.1,172.07,178.51,1,1,0,0,0,0,0,0,0,,
69,2.297,0,0,transition,unknown,100.73,107.27,90.77,150.03,5.02,2.21,172.03,178.38,1,1,0,0,0,0,0,0,0,,
70,2.33,0,0,transition,unknown,102.84,118.06,92.39,150.03,6.12,2.67,171.71,178.75,1,1,0,0,0,0,0,0,0,,
71,2.363,0,0,transition,unknown,111.39,120.03,94.65,150.03,8.29,4.21,170.91,177.74,1,1,0,0,0,0,0,0,0,,
72,2.397,0,0,transition,unknown,114.52,122.14,97.12,150.03,9.11,4.52,171.09,177.64,1,1,0,0,0,0,0,0,0,,
73,2.43,0,0,transition,unknown,121.31,122.55,100.15,150.03,9.36,3.39,170.85,178.77,1,1,0,0,0,0,0,0,0,,
74,2.463,0,0,transition,unknown,120.99,120.82,103.02,150.03,9.94,4.1,171.66,180.0,1,1,0,0,0,0,0,0,0,,
75,2.497,0,0,transition,unknown,122.66,121.93,106.06,150.03,9.01,3.76,170.99,179.63,1,1,0,0,0,0,0,0,0,,
76,2.53,0,0,transition,unknown,126.02,123.66,109.05,150.03,10.6,1.18,171.0,178.78,1,1,0,0,0,0,0,0,0,,
77,2.563,0,0,transition,unknown,128.31,123.62,111.94,150.03,11.78,1.78,171.36,178.9,1,1,0,0,0,0,0,0,0,,
78,2.596,0,0,transition,unknown,128.44,125.29,114.74,150.03,13.37,0.46,171.77,179.03,1,1,0,0,0,0,0,0,0,,
79,2.63,0,0,transition,unknown,128.6,124.23,117.2,150.03,14.13,0.98,171.89,178.57,1,1,0,0,0,0,0,0,0,,
80,2.663,0,0,transition,unknown,128.38,128.3,119.52,150.03,15.03,1.9,171.4,178.1,1,1,0,0,0,0,0,0,0,,
81,2.696,0,0,transition,unknown,128.97,127.54,121.87,150.03,14.96,2.36,171.25,178.09,1,1,0,0,0,0,0,0,0,,
82,2.73,0,0,transition,unknown,130.51,128.37,124.18,150.03,15.81,3.64,171.32,177.49,1,1,0,0,0,0,0,0,0,,
83,2.763,0,0,transition,unknown,131.07,131.1,125.82,150.03,16.36,5.66,172.1,177.3,1,1,0,0,0,0,0,0,0,,
84,2.796,0,0,transition,unknown,131.76,134.88,127.25,150.03,16.96,4.39,172.47,177.41,1,1,0,0,0,0,0,0,0,,
85,2.829,0,0,transition,unknown,131.66,137.28,128.12,150.03,17.7,7.79,173.11,177.45,1,1,0,0,0,0,0,0,0,,
86,2.863,0,0,transition,unknown,130.76,140.6,128.93,150.03,17.55,7.13,173.37,178.49,1,1,0,0,0,0,0,0,0,,
87,2.896,0,0,transition,unknown,131.18,140.6,129.64,150.03,17.32,7.06,173.37,178.37,1,1,0,0,0,0,0,0,0,,
88,2.929,0,0,transition,unknown,130.34,138.42,130.0,150.03,17.59,8.32,173.57,178.72,1,1,0,0,0,0,0,0,0,,
89,2.963,0,0,transition,unknown,130.17,138.3,130.15,150.03,17.95,8.01,173.44,179.06,1,1,0,0,0,0,0,0,0,,
90,2.996,0,0,transition,unknown,129.04,139.15,130.2,150.03,18.22,9.52,173.49,179.17,1,1,0,0,0,0,0,0,0,,
91,3.029,0,0,transition,unknown,130.32,140.25,130.35,150.03,18.8,8.23,173.58,179.41,1,1,0,0,0,0,0,0,0,,
92,3.062,0,0,transition,unknown,130.22,139.81,130.5,150.03,18.52,8.33,174.21,180.0,1,1,0,0,0,0,0,0,0,,
93,3.096,0,0,transition,unknown,129.82,142.13,130.57,150.03,18.51,8.5,174.17,179.88,1,1,0,0,0,0,0,0,0,,
94,3.129,0,0,transition,unknown,130.69,140.01,130.58,150.03,18.51,8.63,174.41,179.88,1,1,0,0,0,0,0,0,0,,
95,3.162,0,0,transition,unknown,131.26,140.37,130.6,150.03,18.93,8.44,174.24,179.88,1,1,0,0,0,0,0,0,0,,
96,3.196,0,0,transition,unknown,131.07,140.2,130.54,150.03,19.03,8.9,174.34,179.88,1,1,0,0,0,0,0,0,0,,
97,3.229,0,0,transition,unknown,130.73,140.9,130.47,150.03,19.28,8.94,174.23,179.65,1,1,0,0,0,0,0,0,0,,
98,3.262,0,0,transition,unknown,129.53,138.8,130.36,150.03,19.63,8.85,174.41,180.0,1,1,0,0,0,0,0,0,0,,
99,3.295,0,0,transition,unknown,130.01,138.21,130.27,150.03,19.2,8.99,174.25,179.65,1,1,0,0,0,0,0,0,0,,
100,3.329,0,0,transition,unknown,130.99,141.13,130.32,150.03,18.63,8.96,174.05,179.88,1,1,0,0,0,0,0,0,0,,
101,3.362,0,0,transition,unknown,129.97,141.99,130.3,150.03,19.23,8.27,173.58,179.29,1,1,0,0,0,0,0,0,0,,
102,3.395,0,0,transition,unknown,130.12,141.03,130.39,150.03,18.45,7.87,174.06,178.82,1,1,0,0,0,0,0,0,0,,
103,3.429,0,0,transition,unknown,129.39,136.2,130.32,150.03,18.09,6.73,173.62,179.05,1,1,0,0,0,0,0,0,0,,
104,3.462,0,0,transition,unknown,127.24,136.86,130.07,150.03,17.04,4.34,173.23,179.27,1,1,0,0,0,0,0,0,0,,
105,3.495,0,0,transition,unknown,127.84,137.14,129.9,150.03,16.76,4.34,173.1,179.28,1,1,0,0,0,0,0,0,0,,
106,3.528,0,0,transition,unknown,127.06,131.29,129.6,150.03,15.98,1.82,172.15,179.29,1,1,0,0,0,0,0,0,0,,
