frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.04,0,0,unknown,unknown,174.6,,174.6,,23.34,,1,1,0,0,0,0,0,0,0,,
2,0.08,0,0,down,unknown,177.13,,175.86,,23.83,,1,1,0,0,0,0,0,0,0,,
3,0.119,0,0,down,unknown,172.02,,174.58,,24.17,,1,1,0,0,0,0,0,0,0,,
4,0.159,0,0,down,unknown,172.09,,173.96,,22.54,,1,1,0,0,0,0,0,0,0,,
5,0.199,0,0,down,unknown,172.93,,173.75,,21.78,,1,1,0,0,0,0,0,0,0,,
6,0.239,0,0,down,unknown,170.0,,173.13,,23.03,,1,1,0,0,0,0,0,0,0,,
7,0.279,0,0,down,unknown,166.95,,172.25,,24.51,,1,1,0,0,0,0,0,0,0,,
8,0.319,0,0,down,unknown,165.66,,171.42,,22.61,,1,1,0,0,0,0,0,0,0,,
9,0.358,0,0,down,unknown,163.19,,170.51,,22.71,,1,1,0,0,0,0,0,0,0,,
10,0.398,0,0,down,unknown,159.01,,169.36,,23.11,,1,1,0,0,0,0,0,0,0,,
11,0.438,0,0,down,unknown,151.46,,167.73,,25.41,,1,1,0,0,0,0,0,0,0,,
12,0.478,0,0,transition,unknown,148.28,,166.11,,27.12,,1,1,0,0,0,0,0,0,0,,
13,0.518,0,0,transition,unknown,142.41,,163.43,,26.78,,1,1,0,0,0,0,0,0,0,,
14,0.557,0,0,transition,unknown,130.11,,159.51,,25.14,,1,1,0,0,0,0,0,0,0,,
15,0.597,0,0,transition,unknown,123.68,,155.48,,27.92,,1,1,0,0,0,0,0,0,0,,
16,0.637,0,0,transition,unknown,116.93,,150.88,,27.83,,1,1,0,0,0,0,0,0,0,,
17,0.677,0,0,transition,unknown,94.69,,144.36,,27.14,,1,1,0,0,0,0,0,0,0,,
18,0.717,0,0,transition,unknown,95.71,,138.17,,28.58,,1,1,0,0,0,0,0,0,0,,
19,0.756,0,0,transition,unknown,86.16,,131.44,,29.48,,1,1,0,0,0,0,0,0,0,,
20,0.796,0,0,transition,unknown,71.87,,123.62,,28.44,,1,1,0,0,0,0,0,0,0,,
21,0.836,0,0,transition,unknown,55.75,,114.67,,25.29,,1,1,0,0,0,0,0,0,0,,
22,0.876,0,0,transition,unknown,48.73,,105.48,,25.54,,1,1,0,0,0,0,0,0,0,,
23,0.916,0,0,transition,unknown,45.27,,96.63,,24.2,,1,1,0,0,0,0,0,0,0,,
24,0.956,0,0,up,unknown,44.6,,87.99,,22.72,,1,1,0,0,0,0,0,0,0,,
25,0.995,0,0,up,unknown,43.8,,79.77,,22.96,,1,1,0,0,0,0,0,0,0,,
26,1.035,0,0,up,unknown,43.55,,72.56,,23.84,,1,1,0,0,0,0,0,0,0,,
27,1.075,0,0,up,unknown,41.44,,65.71,,23.42,,1,1,0,0,0,0,0,0,0,,
28,1.115,0,0,up,unknown,43.39,,59.58,,22.62,,1,1,0,0,0,0,0,0,0,,
29,1.155,0,0,up,unknown,43.68,,55.33,,23.11,,1,1,0,0,0,0,0,0,0,,
30,1.194,0,0,up,unknown,44.96,,51.1,,23.79,,1,1,0,0,0,0,0,0,0,,
31,1.234,0,0,up,unknown,44.58,,47.64,,23.61,,1,1,0,0,0,0,0,0,0,,
32,1.274,0,0,up,unknown,44.61,,45.37,,23.16,,1,1,0,0,0,0,0,0,0,,
33,1.314,0,0,up,unknown,45.26,,44.49,,23.27,,1,1,0,0,0,0,0,0,0,,
34,1.354,0,0,up,unknown,47.04,,44.35,,22.57,,1,1,0,0,0,0,0,0,0,,
35,1.393,0,0,up,unknown,45.71,,44.39,,23.18,,1,1,0,0,0,0,0,0,0,,
36,1.433,0,0,up,unknown,44.83,,44.41,,22.51,,1,1,0,0,0,0,0,0,0,,
37,1.473,0,0,up,unknown,49.56,,44.89,,24.24,,1,1,0,0,0,0,0,0,0,,
