model_name,model_file,video_name,video_path,prediction,prediction_label,confidence_good,confidence_bad,features_used
Augmented Dataset,biceps_curl_rf_augmented.joblib,1.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\1.mp4,1,Good Form,0.69,0.31,17
Augmented Dataset,biceps_curl_rf_augmented.joblib,Biceps curl !!   Nutrition.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps curl !!   Nutrition.mp4,1,Good Form,0.565,0.435,17
Augmented Dataset,biceps_curl_rf_augmented.joblib,Biceps curl rekorunuz _ #bilekgüreşi #deniscyplenkov #gokalaf #keşfet #keşfetbeniöneçıkar#music.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps curl rekorunuz _ #bilekgüreşi #deniscyplenkov #gokalaf #keşfet #keşfetbeniöneçıkar#music.mp4,1,Good Form,0.63,0.37,17
Augmented Dataset,biceps_curl_rf_augmented.joblib,Biceps_Curl_Exercise_Video_Generated.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps_Curl_Exercise_Video_Generated.mp4,1,Good Form,0.695,0.305,17
Augmented Dataset,biceps_curl_rf_augmented.joblib,perfect.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\perfect.mp4,1,Good Form,0.515,0.485,17
Augmented Dataset,biceps_curl_rf_augmented.joblib,Proper Sitting Posture (Spinal Alignment) #posturematters #sedentarylifestyle #sitting #posture.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Proper Sitting Posture (Spinal Alignment) #posturematters #sedentarylifestyle #sitting #posture.mp4,1,Good Form,0.775,0.225,17
Augmented Dataset,biceps_curl_rf_augmented.joblib,toprak.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\toprak.mp4,1,Good Form,0.655,0.345,17
Augmented Dataset,biceps_curl_rf_augmented.joblib,valid.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\valid.mp4,1,Good Form,0.69,0.31,17
Augmented Dataset,biceps_curl_rf_augmented.joblib,Video Project.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Video Project.mp4,1,Good Form,0.84,0.16,17
Augmented Dataset,biceps_curl_rf_augmented.joblib,WhatsApp Video 2025-12-06 at 01.25.16.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\WhatsApp Video 2025-12-06 at 01.25.16.mp4,1,Good Form,0.91,0.09,17
