frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.04,0,0,unknown,unknown,155.25,,155.25,,14.92,,1,1,0,0,0,0,0,0,0,,
2,0.08,0,0,transition,unknown,154.28,,154.77,,14.87,,1,1,0,0,0,0,0,0,0,,
3,0.12,0,0,transition,unknown,153.86,,154.46,,14.68,,1,1,0,0,0,0,0,0,0,,
4,0.16,0,0,transition,unknown,151.58,,153.74,,14.77,,1,1,0,0,0,0,0,0,0,,
5,0.2,0,0,transition,unknown,150.32,,153.06,,15.16,,1,1,0,0,0,0,0,0,0,,
6,0.24,0,0,transition,unknown,152.24,,152.92,,13.73,,1,1,0,0,0,0,0,0,0,,
7,0.28,0,0,transition,unknown,151.79,,152.76,,15.18,,1,1,0,0,0,0,0,0,0,,
8,0.32,0,0,transition,unknown,151.86,,152.65,,16.66,,1,1,0,0,0,0,0,0,0,,
9,0.36,0,0,transition,unknown,141.83,,151.44,,18.72,,1,1,0,0,0,0,0,0,0,,
10,0.4,0,0,transition,unknown,137.19,,150.02,,18.79,,1,1,0,0,0,0,0,0,0,,
11,0.44,0,0,transition,unknown,130.94,,148.28,,16.26,,1,1,0,0,0,0,0,0,0,,
12,0.48,0,0,transition,unknown,133.31,,147.04,,12.57,,1,1,0,0,0,0,0,0,0,,
13,0.52,0,0,transition,unknown,129.17,,144.86,,11.35,,1,1,0,0,0,0,0,0,0,,
14,0.56,0,0,transition,unknown,111.86,,141.33,,10.09,,1,1,0,0,0,0,0,0,0,,
15,0.6,0,0,transition,unknown,109.11,,137.6,,8.88,,1,1,0,0,0,0,0,0,0,,
16,0.64,0,0,transition,unknown,102.36,,133.5,,10.09,,1,1,0,0,0,0,0,0,0,,
17,0.68,0,0,transition,unknown,86.18,,128.15,,1.3,,1,1,0,0,0,0,0,0,0,,
18,0.72,0,0,transition,unknown,76.74,,121.86,,0.36,,1,1,0,0,0,0,0,0,0,,
19,0.76,0,0,transition,unknown,63.46,,114.5,,1.64,,1,1,0,0,0,0,0,0,0,,
20,0.8,0,0,transition,unknown,58.55,,106.73,,5.28,,0,1,0,0,0,0,0,0,0,,
21,0.84,0,0,transition,unknown,58.21,,99.76,,11.31,,0,1,0,0,0,0,0,0,0,,
22,0.88,0,0,transition,unknown,57.24,,93.09,,13.34,,0,1,0,0,0,0,0,0,0,,
23,0.92,0,0,transition,unknown,53.11,,86.61,,12.65,,0,1,0,0,0,0,0,0,0,,
24,0.96,0,0,transition,unknown,51.8,,79.82,,14.9,,0,1,0,0,0,0,0,0,0,,
25,1.0,0,0,transition,unknown,51.82,,73.37,,15.78,,0,1,0,0,0,0,0,0,0,,
26,1.04,0,0,transition,unknown,48.22,,68.07,,14.02,,0,1,0,0,0,0,0,0,0,,
27,1.08,0,0,up,unknown,46.87,,62.88,,15.86,,0,1,0,0,0,0,0,0,0,,
28,1.12,0,0,up,unknown,42.43,,57.89,,13.91,,0,1,0,0,0,0,0,0,0,,
29,1.16,0,0,up,unknown,43.36,,54.32,,14.06,,0,1,0,0,0,0,0,0,0,,
30,1.2,0,0,up,unknown,43.86,,51.58,,16.12,,0,1,0,0,0,0,0,0,0,,
31,1.24,0,0,up,unknown,42.12,,49.8,,14.04,,0,1,0,0,0,0,0,0,0,,
32,1.28,0,0,up,unknown,40.9,,48.33,,15.12,,0,1,0,0,0,0,0,0,0,,
33,1.32,0,0,up,unknown,40.22,,46.83,,16.38,,0,1,0,0,0,0,0,0,0,,
34,1.36,0,0,up,unknown,40.25,,45.41,,17.25,,0,1,0,0,0,0,0,0,0,,
35,1.4,0,0,up,unknown,40.46,,44.36,,15.95,,0,1,0,0,0,0,0,0,0,,
36,1.44,0,0,up,unknown,39.65,,43.35,,15.08,,0,1,0,0,0,0,0,0,0,,
37,1.48,0,0,up,unknown,41.45,,42.48,,15.46,,0,1,0,0,0,0,0,0,0,,
38,1.52,0,0,up,unknown,45.84,,42.28,,13.35,,0,1,0,0,0,0,0,0,0,,
39,1.56,0,0,up,unknown,46.54,,42.26,,9.58,,0,1,0,0,0,0,0,0,0,,
40,1.6,0,0,up,unknown,50.41,,42.92,,10.95,,0,1,0,0,0,0,0,0,0,,
41,1.64,0,0,transition,unknown,52.46,,43.68,,12.26,,0,1,0,0,0,0,0,0,0,,
42,1.68,0,0,transition,unknown,53.66,,44.5,,9.48,,0,1,0,0,0,0,0,0,0,,
43,1.72,0,0,transition,unknown,62.82,,46.22,,5.0,,0,1,0,0,0,0,0,0,0,,
44,1.76,0,0,transition,unknown,70.36,,48.68,,7.43,,0,1,0,0,0,0,0,0,0,,
45,1.8,0,0,transition,unknown,77.6,,51.79,,7.62,,0,1,0,0,0,0,0,0,0,,
46,1.84,0,0,transition,unknown,73.47,,54.56,,6.34,,0,1,0,0,0,0,0,0,0,,
