frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,26.96,,26.96,,15.99,,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,up,unknown,25.19,,26.08,,15.09,,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,up,unknown,19.68,,23.94,,14.64,,1,1,0,0,0,0,0,0,0,,
4,0.134,0,0,up,unknown,13.04,,21.22,,13.26,,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,up,unknown,13.6,,19.7,,14.09,,1,1,0,0,0,0,0,0,0,,
6,0.201,0,0,up,unknown,14.41,,18.82,,11.74,,1,1,0,0,0,0,0,0,0,,
7,0.234,0,0,up,unknown,12.53,,17.92,,11.38,,1,1,0,0,0,0,0,0,0,,
8,0.268,0,0,up,unknown,8.83,,16.78,,9.79,,1,1,0,0,0,0,0,0,0,,
9,0.301,0,0,up,unknown,6.61,,15.65,,8.17,,1,1,0,0,0,0,0,0,0,,
10,0.334,0,0,up,unknown,2.47,,14.33,,7.97,,1,1,0,0,0,0,0,0,0,,
11,0.368,0,0,up,unknown,2.27,,13.24,,9.12,,1,1,0,0,0,0,0,0,0,,
12,0.401,0,0,up,unknown,0.22,,12.15,,9.83,,1,1,0,0,0,0,0,0,0,,
13,0.435,0,0,up,unknown,0.72,,9.96,,10.0,,1,1,0,0,0,0,0,0,0,,
14,0.468,0,0,up,unknown,1.02,,7.95,,11.6,,1,1,0,0,0,0,0,0,0,,
15,0.502,0,0,up,unknown,0.44,,6.35,,11.18,,1,1,0,0,0,0,0,0,0,,
16,0.535,0,0,up,unknown,0.84,,5.33,,11.86,,1,1,0,0,0,0,0,0,0,,
17,0.568,0,0,up,unknown,4.14,,4.54,,14.26,,1,1,0,0,0,0,0,0,0,,
18,0.602,0,0,up,unknown,6.43,,3.88,,15.72,,1,1,0,0,0,0,0,0,0,,
19,0.635,0,0,up,unknown,4.35,,3.19,,17.51,,1,1,0,0,0,0,0,0,0,,
20,0.669,0,0,up,unknown,7.05,,3.05,,17.34,,1,1,0,0,0,0,0,0,0,,
21,0.702,0,0,up,unknown,8.77,,3.23,,17.23,,1,1,0,0,0,0,0,0,0,,
22,0.736,0,0,up,unknown,9.64,,3.82,,17.18,,1,1,0,0,0,0,0,0,0,,
23,0.769,0,0,up,unknown,8.86,,4.37,,18.41,,1,1,0,0,0,0,0,0,0,,
24,0.803,0,0,up,unknown,11.4,,5.31,,16.08,,1,1,0,0,0,0,0,0,0,,
25,0.836,0,0,up,unknown,14.73,,6.47,,17.3,,1,1,0,0,0,0,0,0,0,,
26,0.869,0,0,up,unknown,18.31,,7.91,,18.05,,1,1,0,0,0,0,0,0,0,,
27,0.903,0,0,up,unknown,17.63,,9.35,,18.25,,1,1,0,0,0,0,0,0,0,,
28,0.936,0,0,up,unknown,47.02,,13.2,,13.7,,1,1,0,0,0,0,0,0,0,,
29,0.97,0,0,up,unknown,50.86,,17.09,,10.9,,1,1,0,0,0,0,0,0,0,,
30,1.003,0,0,transition,unknown,66.9,,22.13,,13.12,,1,1,0,0,0,0,0,0,0,,
31,1.037,0,0,transition,unknown,81.47,,28.55,,17.61,,1,1,0,0,0,0,0,0,0,,
32,1.07,0,0,transition,unknown,80.76,,34.7,,18.84,,1,1,0,0,0,0,0,0,0,,
33,1.103,0,0,transition,unknown,91.05,,41.55,,17.75,,1,1,0,0,0,0,0,0,0,,
34,1.137,0,0,transition,unknown,93.05,,48.5,,17.56,,1,1,0,0,0,0,0,0,0,,
35,1.17,0,0,transition,unknown,126.22,,58.28,,18.29,,1,1,0,0,0,0,0,0,0,,
36,1.204,0,0,transition,unknown,144.42,,69.37,,18.52,,1,1,0,0,0,0,0,0,0,,
37,1.237,0,0,transition,unknown,136.29,,79.5,,20.57,,1,1,0,0,0,0,0,0,0,,
38,1.271,0,0,transition,unknown,132.74,,89.03,,22.52,,1,1,0,0,0,0,0,0,0,,
39,1.304,0,0,transition,unknown,133.9,,98.72,,21.39,,1,1,0,0,0,0,0,0,0,,
40,1.338,0,0,transition,unknown,138.34,,106.33,,22.5,,1,1,0,0,0,0,0,0,0,,
41,1.371,0,0,transition,unknown,139.36,,113.71,,22.98,,0,1,0,0,0,0,0,0,0,,
42,1.404,0,0,transition,unknown,138.91,,119.71,,22.69,,1,1,0,0,0,0,0,0,0,,
43,1.438,0,0,transition,unknown,137.81,,124.4,,23.79,,0,1,0,0,0,0,0,0,0,,
44,1.471,0,0,transition,unknown,138.56,,129.22,,24.02,,0,1,0,0,0,0,0,0,0,,
45,1.505,0,0,transition,unknown,139.45,,133.25,,24.1,,0,1,0,0,0,0,0,0,0,,
46,1.538,0,0,transition,unknown,142.2,,137.35,,23.33,,0,1,0,0,0,0,0,0,0,,
47,1.572,0,0,transition,unknown,141.98,,138.66,,23.61,,1,1,0,0,0,0,0,0,0,,
48,1.605,0,0,transition,unknown,145.32,,138.74,,22.95,,1,1,0,0,0,0,0,0,0,,
49,1.638,0,0,transition,unknown,146.67,,139.6,,22.18,,1,1,0,0,0,0,0,0,0,,
50,1.672,0,0,transition,unknown,146.77,,140.77,,21.95,,1,1,0,0,0,0,0,0,0,,
51,1.705,0,0,transition,unknown,145.52,,141.74,,22.51,,1,1,0,0,0,0,0,0,0,,
52,1.739,0,0,transition,unknown,147.04,,142.47,,21.07,,1,1,0,0,0,0,0,0,0,,
53,1.772,0,0,transition,unknown,148.6,,143.23,,20.92,,1,1,0,0,0,0,0,0,0,,
54,1.806,0,0,transition,unknown,148.88,,144.07,,21.09,,1,1,0,0,0,0,0,0,0,,
55,1.839,0,0,transition,unknown,148.85,,144.99,,20.72,,1,1,0,0,0,0,0,0,0,,
56,1.873,0,0,transition,unknown,150.29,,145.96,,19.9,,1,1,0,0,0,0,0,0,0,,
57,1.906,0,0,transition,unknown,152.65,,147.06,,19.74,,1,1,0,0,0,0,0,0,0,,
58,1.939,0,0,transition,unknown,153.21,,147.98,,18.77,,1,1,0,0,0,0,0,0,0,,
59,1.973,0,0,transition,unknown,153.08,,148.91,,18.28,,1,1,0,0,0,0,0,0,0,,
60,2.006,0,0,transition,unknown,151.92,,149.46,,19.54,,1,1,0,0,0,0,0,0,0,,
61,2.04,0,0,transition,unknown,147.83,,149.55,,20.89,,1,1,0,0,0,0,0,0,0,,
62,2.073,0,0,transition,unknown,144.57,,149.37,,22.31,,1,1,0,0,0,0,0,0,0,,
63,2.107,0,0,transition,unknown,139.12,,148.84,,22.96,,0,1,0,0,0,0,0,0,0,,
64,2.14,0,0,transition,unknown,133.55,,147.71,,23.63,,0,1,0,0,0,0,0,0,0,,
65,2.173,0,0,transition,unknown,133.48,,146.45,,23.97,,0,1,0,0,0,0,0,0,0,,
66,2.207,0,0,transition,unknown,124.02,,144.38,,22.76,,0,1,0,0,0,0,0,0,0,,
67,2.24,0,0,transition,unknown,114.34,,141.51,,20.88,,1,1,0,0,0,0,0,0,0,,
68,2.274,0,0,transition,unknown,64.58,,134.36,,18.9,,1,1,0,0,0,0,0,0,0,,
69,2.307,0,0,transition,unknown,62.13,,126.82,,16.78,,1,1,0,0,0,0,0,0,0,,
70,2.341,0,0,transition,unknown,61.65,,119.19,,16.04,,1,1,0,0,0,0,0,0,0,,
71,2.374,0,0,transition,unknown,56.32,,111.13,,20.07,,1,1,0,0,0,0,0,0,0,,
72,2.408,0,0,transition,unknown,34.48,,101.34,,19.63,,1,1,0,0,0,0,0,0,0,,
73,2.441,0,0,up,unknown,29.72,,91.5,,19.05,,1,1,0,0,0,0,0,0,0,,
74,2.474,0,0,up,unknown,22.96,,81.36,,17.04,,1,1,0,0,0,0,0,0,0,,
75,2.508,0,0,up,unknown,24.5,,71.81,,16.42,,1,1,0,0,0,0,0,0,0,,
76,2.541,0,0,up,unknown,18.2,,62.2,,16.62,,1,1,0,0,0,0,0,0,0,,
